spotify_id,name
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott
19LIHDDSHBD5NyYHI3gpzB,Shilpa Rao
4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
4bthk9UfsYUYdcFyqxmSUU,Tears For Fears
4cAERazLlAzVGA10ORWaUP,Manoj Muntashir
1dVygo6tRFXC8CSWURQJq2,Sonu Nigam
3E12tRURRvPfHz0hAMCFYc,Omar Courtz
53A0W3U0s8diEn9RhXQhVz,Keane
3eDT9fwXKuHWFvgZaaYC5v,Sunidhi Chauhan
11kt6ggsdxvI8MhyeSMKom,CYRIL
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel
7j6DKwmjbxvpQO8h914uEz,Ryan Castro
2myuqB0gKAo75dE2eSWgzt,Silent Addy
4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony
3FUY2gzHeIiaesXtOAdB7A,Train
7n2Ycct7Beij7Dj7meI4X0,TWICE
0Q8NcsJwoCbZOHHW63su5S,Mora
2uYWxilOVlUdk4oV9DvwqK,Mitski
2qk9voo8llSGYcZ6xrBzKx,Kings of Leon
46pWGuE3dSwY3bMMXGBvVS,Rema
1SyKki7JI1AZNKwgNMkn25,Sachet-Parampara
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland
5SCDfg1YoEfI5gFtXqEWah,ATLXS
7EQ0qTo7fWT7DPxmxtSYEc,Bastille
4QFG9KrGWEbr6hNA58CAqE,Alemán
5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
3tJnB0s6c3oXPq1SCCavnd,Marco Antonio Solís
5LfGQac0EIXyAN8aUwmNAQ,The Offspring
0lAWpj5szCSwM4rUMHYmrr,Måneskin
4W91bbPB2CTSsHwt7eqNl7,Javed Ali
3WGpXCj9YhhfX11TToZcXP,Troye Sivan
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco
7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh
6WOdPJmexxFINcKMkP2jMG,Sachet Tandon
2IMZYfNi21MGqxopj9fWx8,Rels B
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers
5nGIFgo0shDenQYSE0Sn7c,Evanescence
0NIIxcxNHmOoyBx03SfTCD,Tinashe
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters
6qxpnaukVayrQn6ViNvu9I,BigXthaPlug
7vXDAI8JwjW531ouMGbfcp,TINI
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA
5JZ7CnR6gTvEMKX4g70Amv,Lauv
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller
