spotify_id,name,followers,popularity,genres
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,4480088,83,bedroom pop
2gBjLmx6zQnFGQJCAQpRgw,Nelly,3567950,79,
1G9G7WwrXka3Z1r7aIDjI7,Outkast,3251644,78,"southern hip hop, hip hop"
1ZwdS5xdxEREPySFridCfh,2Pac,21962437,82,"old school hip hop, gangster rap, west coast hip hop, g-funk, hip hop"
5FkUhnHQ0KC63549LHHtst,Skillibeng,514430,77,dancehall
6deZN1bslXzeGvOLaLMOIF,Nickelback,7692292,82,"post-grunge, rock"
5y2Xq6xcjJb2jVM54GHK3t,John Legend,7864191,78,"soft pop, neo soul"
02kJSzxNuaWGqwubyUba0Z,G-Eazy,6161232,79,
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,10629224,80,
2hVWBpjLW4Q7fboYz2pVYK,MOLIY,157233,81,alté
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,24104556,82,"colombian pop, reggaeton"
3bO19AOone0ubCsfDXDtYt,Myles Smith,1191369,80,
6vXTefBL93Dj5IqAWq6OTv,French Montana,5756822,77,
2qoQgPAilErOKCwE2Y8wOG,GloRilla,2368131,82,
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,15160179,79,"edm, electronica, progressive house"
2oQX8QiMXOyuqbcZEFsZfm,El Alfa,4073682,81,"dembow, urbano latino, latin"
57vWImR43h4CaDao012Ofp,Steve Lacy,6151410,81,
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,10896738,77,latin
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,6088843,82,bedroom pop
2jzc5TC5TVFLXQlBNiIUzE,a-ha,2799680,76,"new wave, synthpop"
28gNT5KBp7IjEOQoevXf9N,Camilo,20259597,82,"colombian pop, pop urbano"
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,2771059,77,"yacht rock, soft rock"
0GM7qgcRCORpGnfcN2tCiB,Tainy,2985383,80,reggaeton
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,10675714,83,"french house, electronic, electro"
0elWFr7TW8piilVRYJUe4P,Natanael Cano,20167298,90,"corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, electro corridos, música mexicana, banda"
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,14644291,82,"old school hip hop, g-funk, gangster rap, west coast hip hop, hip hop, rap"
7Gi6gjaWy3DxyilpF1a8Is,Junior H,26393493,89,"corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda"
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,13378169,84,"nu metal, metal, alternative metal, rap metal, rock"
2jSGzJw0ebJLu7OLVSOcBP,Plan B,6273927,82,reggaeton
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,7145560,80,
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,7575316,81,
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,9382998,85,"metal, heavy metal, rock, stoner rock, doom metal, hard rock"
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,1885479,76,
11pXvO7wYuzRWYONDOBd33,Danny Chung,18975,85,k-pop
10exVja0key0uqUkk6LJRT,Vance Joy,3425169,77,folk pop
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,829701,85,k-pop
